id,last_login,total_purchases,total_time_spent,number_of_posts,likes_given,payment_method
U159,9/12/2023,34.0,296.08,379.0,4077.0,PayPal
U251,4/9/2023,49.0,242.41,347.0,1177.0,Bank Transfer
U1682,7/16/2023,7.0,96.67,434.0,3012.0,Bank Transfer
U1553,6/9/2023,48.0,134.3,817.0,400.0,Crypto
U469,8/28/2023,4.0,168.34,534.0,578.0,Crypto
U324,2/8/2023,26.0,230.31,896.0,997.0,Crypto
U3265,6/30/2023,2.0,235.57,137.0,916.0,Crypto
U1484,4/23/2023,1.0,197.67,559.0,2040.0,Crypto
U3071,4/18/2023,10.0,378.11,32.0,4948.0,PayPal
U1852,8/10/2023,0.0,425.84,823.0,934.0,PayPal
U3379,6/12/2023,39.0,35.22,925.0,2219.0,Bank Transfer
U2036,5/1/2023,28.0,140.89,555.0,1885.0,Crypto
U1897,7/5/2023,29.0,70.75,234.0,3762.0,Credit Card
U677,5/30/2023,27.0,464.25,6.0,1041.0,PayPal
U717,8/20/2023,39.0,490.79,380.0,266.0,Bank Transfer
U3114,7/12/2023,31.0,450.17,169.0,3811.0,Crypto
U162,2/18/2023,12.0,56.08,317.0,3104.0,Credit Card
U2801,5/9/2023,26.0,421.48,243.0,3340.0,Credit Card
U770,3/26/2023,42.0,173.21,378.0,3094.0,Bank Transfer
U2883,,13.0,127.01,914.0,3123.0,Crypto
U2136,6/4/2023,39.0,26.8,97.0,2718.0,Bank Transfer
U630,10/28/2023,34.0,123.84,982.0,2430.0,Bank Transfer
U437,1/28/2023,19.0,120.74,224.0,3481.0,Bank Transfer
U3297,5/16/2023,12.0,55.49,184.0,4748.0,Bank Transfer
U2959,9/27/2023,30.0,310.68,278.0,160.0,Credit Card
U1258,10/4/2023,15.0,35.91,28.0,960.0,PayPal
U940,8/1/2023,50.0,340.77,788.0,4314.0,Bank Transfer
U1760,5/30/2023,14.0,165.61,365.0,4511.0,Bank Transfer
U3218,2/8/2023,47.0,312.94,444.0,3625.0,Credit Card
U1905,10/20/2023,9.0,,739.0,2291.0,Bank Transfer
U3176,4/29/2023,1.0,423.01,846.0,3888.0,Credit Card
U3134,4/10/2023,35.0,391.84,15.0,2817.0,Credit Card
U3194,6/24/2023,31.0,141.65,933.0,2120.0,PayPal
U2015,6/9/2023,15.0,100.86,552.0,379.0,Bank Transfer
U422,3/4/2023,49.0,260.58,830.0,1957.0,Crypto
U1412,8/4/2023,5.0,446.36,240.0,1043.0,Credit Card
U2871,3/12/2023,10.0,239.3,854.0,3580.0,Crypto
U194,9/8/2023,21.0,437.18,343.0,529.0,Credit Card
U2877,10/2/2023,1.0,464.97,547.0,864.0,Credit Card
U327,9/19/2023,21.0,166.54,989.0,4232.0,Credit Card
U468,7/27/2023,37.0,424.95,976.0,3207.0,Credit Card
U2104,4/27/2023,18.0,99.63,354.0,312.0,Bank Transfer
U3334,10/21/2023,31.0,308.41,248.0,4644.0,PayPal
U838,11/13/2023,5.0,443.52,17.0,4245.0,PayPal
U1652,3/8/2023,7.0,44.06,600.0,4693.0,Bank Transfer
U973,11/29/2023,35.0,146.87,717.0,4697.0,Bank Transfer
U3111,10/2/2023,1.0,376.83,86.0,889.0,PayPal
U914,10/23/2023,41.0,277.51,599.0,2509.0,Crypto
U2839,6/26/2023,22.0,205.46,236.0,4991.0,Crypto
U1425,2/11/2023,24.0,265.2,866.0,3921.0,Bank Transfer
U3229,6/29/2023,33.0,277.4,428.0,1296.0,Credit Card
U3152,10/1/2023,33.0,48.55,536.0,3022.0,Bank Transfer
U1576,7/8/2023,,281.52,649.0,4422.0,Crypto
U414,5/10/2023,5.0,307.78,94.0,2239.0,Credit Card
U1703,9/16/2023,13.0,217.7,501.0,4376.0,Credit Card
U352,7/20/2023,38.0,13.39,119.0,1638.0,Credit Card
U2094,11/11/2023,17.0,208.71,701.0,3163.0,PayPal
U656,11/8/2023,25.0,421.06,166.0,3485.0,Credit Card
U3344,4/27/2023,25.0,328.24,722.0,4981.0,Bank Transfer
U3262,3/28/2023,3.0,410.39,32.0,4913.0,PayPal
U1231,9/25/2023,48.0,167.78,367.0,4467.0,Crypto
U3105,9/19/2023,26.0,240.57,92.0,3307.0,PayPal
U1583,6/2/2023,44.0,274.22,692.0,71.0,Credit Card
U653,7/14/2023,47.0,262.2,117.0,2433.0,Crypto
U79,4/17/2023,17.0,80.28,514.0,292.0,Bank Transfer
U2981,,35.0,116.12,531.0,858.0,Credit Card
U1554,4/2/2023,39.0,492.74,618.0,532.0,Bank Transfer
U318,3/16/2023,39.0,442.46,769.0,1026.0,PayPal
U3174,9/28/2023,47.0,325.11,777.0,4101.0,Bank Transfer
U58,3/5/2023,4.0,75.31,942.0,4918.0,Credit Card
U1229,8/25/2023,46.0,253.27,253.0,1891.0,PayPal
U576,11/25/2023,17.0,71.58,575.0,1348.0,Crypto
U956,1/11/2023,46.0,398.07,362.0,1786.0,Crypto
U1983,8/21/2023,49.0,470.45,387.0,82.0,PayPal
U480,11/23/2023,9.0,171.13,987.0,709.0,Bank Transfer
U603,6/24/2023,27.0,298.95,425.0,4132.0,Credit Card
U88,1/13/2023,40.0,445.65,,94.0,PayPal
U1615,8/3/2023,5.0,59.13,503.0,1731.0,Credit Card
U1410,9/8/2023,33.0,305.01,731.0,393.0,Credit Card
U392,6/12/2023,7.0,121.83,508.0,3222.0,Bank Transfer
U543,10/24/2023,16.0,34.65,695.0,63.0,Credit Card
U810,5/4/2023,49.0,440.99,626.0,2981.0,Bank Transfer
U570,8/23/2023,32.0,154.43,745.0,2037.0,PayPal
U2998,11/24/2023,4.0,88.02,460.0,4538.0,PayPal
U3322,10/4/2023,6.0,444.92,630.0,477.0,Bank Transfer
U1437,5/18/2023,27.0,463.86,497.0,3213.0,Credit Card
U1974,2/4/2023,41.0,89.26,535.0,1841.0,Bank Transfer
U1270,3/11/2023,13.0,222.01,171.0,1584.0,Credit Card
U132,1/9/2023,45.0,465.51,343.0,3917.0,Crypto
U1999,9/5/2023,49.0,238.2,64.0,399.0,Credit Card
U3146,10/19/2023,47.0,441.85,683.0,3790.0,Crypto
U1359,3/29/2023,28.0,52.46,190.0,1651.0,Crypto
U1727,10/11/2023,24.0,92.49,566.0,410.0,Credit Card
U1162,6/21/2023,5.0,2.9,721.0,977.0,PayPal
U3151,6/20/2023,,20.58,146.0,4823.0,PayPal
U1491,2/10/2023,22.0,290.56,383.0,496.0,Credit Card
U816,6/15/2023,43.0,482.96,723.0,388.0,Credit Card
U678,1/18/2023,48.0,385.98,619.0,2390.0,Crypto
U3075,11/1/2023,33.0,383.91,493.0,4299.0,Crypto
U3084,3/28/2023,43.0,55.58,958.0,2017.0,PayPal
U866,8/5/2023,23.0,337.6,261.0,1654.0,Crypto
U3329,5/27/2023,4.0,64.84,501.0,3043.0,Crypto
U655,7/20/2023,48.0,199.33,272.0,368.0,Bank Transfer
U1601,11/28/2023,18.0,341.39,734.0,3006.0,PayPal
U33,8/27/2023,33.0,49.16,442.0,4701.0,Credit Card
U1895,11/24/2023,6.0,216.81,358.0,4784.0,PayPal
U2071,1/16/2023,26.0,284.52,266.0,2408.0,PayPal
U38,5/1/2023,23.0,119.18,372.0,4340.0,Bank Transfer
U1986,10/1/2023,22.0,19.62,484.0,4352.0,PayPal
U1766,8/31/2023,30.0,204.09,161.0,2777.0,Crypto
U2116,5/16/2023,12.0,322.06,414.0,111.0,PayPal
U595,3/21/2023,7.0,410.83,724.0,4899.0,Bank Transfer
U3248,6/17/2023,12.0,463.45,93.0,791.0,PayPal
U780,12/1/2023,31.0,154.48,709.0,4991.0,Credit Card
U3315,7/18/2023,14.0,67.86,382.0,451.0,Credit Card
U1328,11/25/2023,18.0,152.44,936.0,2526.0,Bank Transfer
U3364,3/16/2023,43.0,285.82,756.0,4995.0,Crypto
U3264,10/27/2023,17.0,119.16,690.0,4887.0,Credit Card
U482,6/13/2023,5.0,490.0,564.0,3264.0,Bank Transfer
U2140,9/21/2023,19.0,241.57,126.0,1677.0,Credit Card
U176,5/15/2023,32.0,157.86,882.0,151.0,Bank Transfer
U529,3/16/2023,14.0,236.65,87.0,274.0,Credit Card
U871,6/2/2023,5.0,331.59,993.0,2026.0,PayPal
U2909,11/16/2023,15.0,245.77,319.0,3180.0,Credit Card
U1478,1/21/2023,34.0,358.37,556.0,2766.0,Credit Card
U204,10/10/2023,19.0,332.13,725.0,2151.0,Credit Card
U3004,9/7/2023,2.0,424.3,778.0,2537.0,Bank Transfer
U1549,11/5/2023,22.0,190.01,488.0,1815.0,Credit Card
U1643,2/11/2023,2.0,298.0,55.0,3138.0,Credit Card
U1398,8/13/2023,25.0,340.06,688.0,4196.0,Bank Transfer
U1832,10/29/2023,41.0,416.69,979.0,3122.0,PayPal
U380,5/6/2023,25.0,209.59,463.0,4805.0,Bank Transfer
U2032,7/21/2023,41.0,397.78,998.0,3675.0,Credit Card
U1750,5/17/2023,30.0,424.86,797.0,3373.0,PayPal
U3159,8/22/2023,2.0,396.77,150.0,239.0,Crypto
U3102,7/6/2023,21.0,439.08,588.0,3471.0,Crypto
U2874,2/23/2023,42.0,404.11,517.0,3998.0,Bank Transfer
U2034,2/24/2023,29.0,160.3,87.0,2781.0,Bank Transfer
U1715,11/11/2023,42.0,47.67,792.0,1903.0,Crypto
U1211,3/31/2023,43.0,157.56,57.0,1841.0,PayPal
U3278,2/8/2023,23.0,,171.0,4844.0,Credit Card
U459,1/3/2023,21.0,75.94,895.0,2156.0,Bank Transfer
U1597,6/2/2023,47.0,109.29,541.0,1239.0,Bank Transfer
U1930,10/1/2023,20.0,148.31,148.0,2117.0,Credit Card
U2130,1/5/2023,31.0,35.04,901.0,2271.0,Crypto
U3335,9/24/2023,39.0,313.99,892.0,2730.0,Bank Transfer
U2926,10/5/2023,21.0,261.46,147.0,801.0,Crypto
U2031,7/25/2023,30.0,163.17,429.0,3644.0,Credit Card
U3210,3/3/2023,6.0,175.81,451.0,3654.0,Crypto
U1034,7/22/2023,8.0,415.58,280.0,877.0,Credit Card
U461,9/28/2023,16.0,453.97,875.0,4953.0,PayPal
U259,6/22/2023,29.0,286.34,460.0,4889.0,Crypto
U1927,1/2/2023,11.0,183.45,449.0,4420.0,Bank Transfer
U922,9/18/2023,2.0,402.84,674.0,2330.0,Credit Card
U3286,6/30/2023,21.0,97.58,858.0,970.0,Crypto
U2892,7/26/2023,10.0,348.84,922.0,795.0,Credit Card
U289,8/23/2023,48.0,427.64,101.0,2914.0,Credit Card
U2153,9/19/2023,4.0,379.58,58.0,2387.0,Credit Card
U1976,10/23/2023,50.0,197.32,260.0,2652.0,Credit Card
U898,8/18/2023,28.0,351.24,20.0,2662.0,Credit Card
U634,3/9/2023,21.0,291.32,381.0,4049.0,PayPal
U2985,2/14/2023,16.0,33.09,690.0,2019.0,Credit Card
U3366,7/24/2023,13.0,367.2,134.0,975.0,Credit Card
U1360,8/29/2023,37.0,437.49,392.0,321.0,Bank Transfer
U1758,7/9/2023,15.0,92.99,799.0,3046.0,Credit Card
U3216,3/25/2023,18.0,491.34,605.0,2842.0,PayPal
U1499,4/7/2023,7.0,351.57,956.0,3954.0,PayPal
U3223,3/31/2023,39.0,99.79,798.0,2994.0,PayPal
U423,4/29/2023,29.0,444.11,333.0,2203.0,PayPal
U1515,8/2/2023,0.0,487.76,922.0,3273.0,Crypto
U1306,9/24/2023,50.0,186.92,260.0,1323.0,PayPal
U2008,9/19/2023,22.0,479.53,123.0,3960.0,Crypto
U2979,4/13/2023,23.0,186.24,311.0,224.0,Crypto
U1846,2/20/2023,35.0,333.05,369.0,3769.0,Credit Card
U668,4/23/2023,33.0,450.78,423.0,1510.0,Crypto
U1364,7/13/2023,35.0,175.99,395.0,1072.0,Crypto
U93,4/3/2023,11.0,479.76,628.0,351.0,Credit Card
U1135,4/27/2023,46.0,348.75,571.0,2645.0,Crypto
U2097,8/21/2023,36.0,364.08,96.0,4547.0,Crypto
U575,2/8/2023,5.0,50.28,111.0,720.0,Crypto
U3354,5/8/2023,18.0,52.25,918.0,4457.0,Bank Transfer
U1827,10/29/2023,9.0,238.45,55.0,3321.0,Crypto
U1084,1/4/2023,5.0,70.43,572.0,942.0,PayPal
U3076,8/15/2023,40.0,396.82,144.0,3671.0,PayPal
U3158,5/10/2023,31.0,230.84,395.0,3977.0,Credit Card
U1959,6/10/2023,28.0,477.86,809.0,876.0,PayPal
U643,2/5/2023,18.0,462.91,524.0,3977.0,Credit Card
U322,4/22/2023,11.0,276.08,490.0,1280.0,Bank Transfer
U1259,5/18/2023,19.0,263.16,748.0,128.0,PayPal
U2050,10/4/2023,3.0,390.03,736.0,3255.0,Crypto
U975,11/2/2023,22.0,93.71,207.0,3290.0,PayPal
U3255,9/26/2023,17.0,293.26,746.0,3146.0,Bank Transfer
U272,8/14/2023,23.0,298.45,189.0,4664.0,PayPal
U1823,11/11/2023,33.0,126.59,13.0,294.0,Bank Transfer
U203,7/24/2023,30.0,389.37,271.0,537.0,Crypto
U1209,8/7/2023,29.0,170.08,862.0,4543.0,PayPal
U699,4/12/2023,8.0,164.42,212.0,4261.0,Crypto
U1618,4/9/2023,14.0,336.0,554.0,2914.0,PayPal
U1186,1/7/2023,42.0,39.48,475.0,3615.0,PayPal
U1877,12/1/2023,42.0,417.2,306.0,4182.0,Crypto
U917,2/11/2023,25.0,140.92,54.0,2829.0,Bank Transfer
U1434,1/19/2023,10.0,130.81,385.0,2496.0,Bank Transfer
U274,5/23/2023,0.0,334.11,909.0,2683.0,Crypto
U3038,6/9/2023,38.0,9.85,450.0,185.0,Crypto
U3232,6/15/2023,30.0,445.96,959.0,3707.0,PayPal
U2936,5/3/2023,11.0,286.8,818.0,3710.0,Crypto
U2107,2/7/2023,7.0,74.01,730.0,3834.0,Crypto
U52,6/27/2023,45.0,33.15,271.0,2415.0,Bank Transfer
U432,10/29/2023,12.0,336.52,475.0,1840.0,Credit Card
U793,3/15/2023,22.0,80.81,789.0,211.0,Credit Card
U1646,2/4/2023,38.0,494.69,611.0,4580.0,PayPal
U2836,1/12/2023,26.0,470.76,440.0,4295.0,PayPal
U596,3/24/2023,1.0,104.41,16.0,186.0,Crypto
U3397,3/3/2023,8.0,45.79,135.0,4065.0,PayPal
U862,5/9/2023,48.0,35.13,691.0,3177.0,Credit Card
U3131,1/20/2023,27.0,92.0,769.0,2203.0,Bank Transfer
U3124,7/1/2023,15.0,37.53,695.0,1448.0,Bank Transfer
U105,6/12/2023,34.0,322.95,782.0,1805.0,Credit Card
U354,1/10/2023,1.0,488.89,654.0,1128.0,Credit Card
U3060,8/25/2023,25.0,310.83,488.0,3867.0,Crypto
U1430,10/4/2023,6.0,220.53,581.0,4948.0,Bank Transfer
U1892,1/17/2023,25.0,87.92,223.0,2544.0,PayPal
U1165,5/21/2023,28.0,468.5,616.0,3706.0,Credit Card
U606,8/19/2023,30.0,452.67,874.0,4945.0,Bank Transfer
U3033,3/13/2023,31.0,338.39,474.0,1572.0,Bank Transfer
U794,6/18/2023,46.0,494.0,193.0,4494.0,Crypto
U261,5/20/2023,2.0,291.71,509.0,3430.0,Bank Transfer
U1775,7/30/2023,24.0,481.42,123.0,839.0,Bank Transfer
U1340,7/4/2023,14.0,109.38,531.0,3463.0,PayPal
U3055,3/20/2023,11.0,43.6,802.0,4139.0,Bank Transfer
U2817,8/4/2023,27.0,180.34,589.0,2780.0,Credit Card
U2200,8/15/2023,34.0,487.07,620.0,3373.0,Crypto
U2972,2/12/2023,4.0,481.76,92.0,4670.0,PayPal
U531,3/8/2023,19.0,305.38,793.0,1777.0,Credit Card
U3081,1/5/2023,38.0,159.48,799.0,1851.0,PayPal
U1705,1/12/2023,27.0,407.48,817.0,262.0,Crypto
U2842,11/19/2023,0.0,247.47,983.0,3748.0,PayPal
U783,4/22/2023,47.0,86.13,604.0,893.0,PayPal
U2145,4/4/2023,35.0,168.82,722.0,1180.0,Crypto
U453,1/30/2023,9.0,409.86,398.0,4812.0,PayPal
U3022,1/11/2023,48.0,126.72,740.0,3079.0,Crypto
U863,7/11/2023,35.0,328.73,480.0,2897.0,PayPal
U1788,2/19/2023,42.0,3.07,135.0,4671.0,PayPal
U481,2/8/2023,0.0,116.3,123.0,2707.0,Bank Transfer
U1512,11/22/2023,0.0,293.58,931.0,2149.0,Bank Transfer
U777,10/22/2023,36.0,492.82,538.0,3772.0,Credit Card
U658,3/15/2023,34.0,422.43,72.0,4336.0,Credit Card
U1477,8/4/2023,21.0,113.14,226.0,1489.0,Bank Transfer
U2900,8/30/2023,23.0,60.92,648.0,4524.0,Crypto
U963,1/18/2023,36.0,166.22,934.0,4870.0,Credit Card
U1427,1/26/2023,47.0,315.12,338.0,4073.0,PayPal
U3391,1/17/2023,27.0,61.56,746.0,3164.0,Crypto
U1504,5/2/2023,5.0,92.05,896.0,3782.0,Crypto
U856,9/7/2023,38.0,178.0,78.0,814.0,PayPal
U556,8/1/2023,21.0,346.63,82.0,4473.0,PayPal
U902,6/27/2023,39.0,234.08,871.0,3942.0,Crypto
U1057,4/6/2023,33.0,343.14,435.0,130.0,Bank Transfer
U1588,1/7/2023,3.0,362.16,652.0,1245.0,Credit Card
U440,5/30/2023,21.0,247.38,965.0,2458.0,PayPal
U1717,2/14/2023,10.0,387.64,620.0,1753.0,PayPal
U1290,9/25/2023,17.0,119.35,76.0,4431.0,Bank Transfer
U1533,11/22/2023,20.0,481.19,813.0,1932.0,Credit Card
U340,7/5/2023,39.0,221.17,236.0,1229.0,Credit Card
U448,2/12/2023,,456.13,169.0,101.0,Bank Transfer
U996,2/4/2023,7.0,340.85,497.0,3596.0,Bank Transfer
U1506,2/20/2023,47.0,418.42,587.0,1306.0,Credit Card
U2141,6/24/2023,10.0,117.59,351.0,4339.0,Bank Transfer
U894,12/1/2023,7.0,373.82,597.0,9.0,Crypto
U1281,4/16/2023,21.0,324.29,146.0,1340.0,Bank Transfer
U3319,7/1/2023,2.0,111.16,399.0,2950.0,Crypto
U299,10/10/2023,16.0,130.73,136.0,2515.0,Credit Card
U1951,10/24/2023,20.0,163.3,511.0,1198.0,PayPal
U3230,2/14/2023,21.0,281.68,207.0,603.0,PayPal
U1121,8/8/2023,8.0,239.41,645.0,1061.0,Bank Transfer
U1937,2/18/2023,14.0,217.28,509.0,1871.0,PayPal
U1107,8/4/2023,47.0,86.99,95.0,4174.0,PayPal
U1435,11/26/2023,26.0,484.29,936.0,3926.0,Credit Card
U2888,7/21/2023,21.0,180.25,573.0,509.0,Credit Card
U1168,3/14/2023,26.0,141.03,533.0,4277.0,Credit Card
U590,2/20/2023,42.0,132.32,408.0,4276.0,Credit Card
U1493,11/19/2023,25.0,47.9,66.0,3889.0,Credit Card
U899,8/21/2023,33.0,30.96,19.0,4679.0,Credit Card
U827,1/19/2023,9.0,277.89,840.0,1668.0,Bank Transfer
U370,5/19/2023,41.0,28.33,409.0,2279.0,Bank Transfer
U1201,10/28/2023,28.0,304.19,288.0,4559.0,Bank Transfer
U1922,4/3/2023,6.0,227.36,551.0,4152.0,Bank Transfer
U115,5/30/2023,0.0,308.51,177.0,4601.0,Bank Transfer
U550,6/29/2023,21.0,31.72,66.0,2230.0,Crypto
U3180,2/1/2023,12.0,408.27,937.0,668.0,Bank Transfer
U815,1/1/2023,1.0,269.27,333.0,2434.0,Crypto
U3141,8/2/2023,41.0,252.05,786.0,4271.0,Bank Transfer
U765,1/15/2023,2.0,468.41,1000.0,3280.0,Credit Card
