id,age,gender,country,sign_up_date,membership_level,last_login,total_purchases,total_time_spent,number_of_posts,likes_given,payment_method
U974,53.0,Male,India,1/22/2019,Free,1/29/2023,24.0,249.91,581.0,291.0,Bank Transfer
U547,31.0,Male,Germany,12/31/2020,Free,3/29/2023,44.0,420.57,930.0,3218.0,PayPal
U1850,42.0,Female,India,12/5/2017,Silver,10/29/2023,46.0,254.68,934.0,3941.0,Bank Transfer
U2040,27.0,Female,India,5/17/2021,Platinum,7/12/2023,26.0,460.07,35.0,2651.0,Credit Card
U2177,37.0,Female,USA,12/16/2019,Free,2/24/2023,32.0,406.26,596.0,1249.0,PayPal
U1134,50.0,Male,Germany,3/19/2018,Silver,2/24/2023,46.0,40.37,816.0,3730.0,Bank Transfer
U1606,66.0,Male,UK,1/27/2015,Silver,3/5/2023,38.0,29.87,325.0,1290.0,Credit Card
U2072,60.0,Female,Canada,8/23/2016,Platinum,3/29/2023,34.0,268.06,691.0,2518.0,PayPal
U1173,38.0,Male,Canada,11/8/2020,Silver,6/1/2023,38.0,407.96,958.0,3100.0,PayPal
U488,49.0,Male,UK,12/18/2022,Gold,10/10/2023,26.0,53.89,914.0,2604.0,Credit Card
U1310,69.0,Male,USA,1/19/2020,Gold,5/1/2023,3.0,467.5,117.0,2607.0,Bank Transfer
U1715,69.0,Male,UK,3/22/2018,Free,11/11/2023,42.0,47.67,792.0,1903.0,Crypto
U844,37.0,Male,USA,1/22/2019,Platinum,1/1/2023,30.0,386.36,186.0,581.0,PayPal
U200,69.0,Male,Germany,1/9/2019,Free,8/23/2023,2.0,415.9,245.0,496.0,Bank Transfer
U702,58.0,Female,India,7/16/2017,Platinum,6/24/2023,26.0,449.45,958.0,3848.0,Credit Card
U337,68.0,Male,UK,9/7/2019,Gold,4/9/2023,9.0,309.08,788.0,3535.0,Credit Card
U1151,61.0,Male,India,7/19/2021,Free,7/29/2023,14.0,102.67,565.0,1950.0,Crypto
U1024,51.0,Female,Germany,11/17/2022,Free,11/21/2023,,21.43,626.0,4743.0,Bank Transfer
U397,59.0,Female,Canada,8/21/2017,Platinum,3/30/2023,37.0,194.37,523.0,2420.0,PayPal
U1974,26.0,Female,UK,12/29/2015,Silver,2/4/2023,41.0,89.26,535.0,1841.0,Bank Transfer
U1496,19.0,Male,UK,11/20/2018,Free,7/16/2023,33.0,454.18,415.0,3168.0,Crypto
U579,53.0,Male,USA,7/24/2018,Silver,3/4/2023,37.0,3.52,718.0,4846.0,Crypto
U539,35.0,Female,Germany,4/9/2015,Gold,4/23/2023,27.0,305.51,587.0,3120.0,Bank Transfer
U2030,47.0,Male,India,5/16/2015,Platinum,10/29/2023,49.0,189.41,173.0,3198.0,PayPal
U1119,54.0,Female,Germany,3/4/2017,Gold,8/31/2023,0.0,236.61,905.0,512.0,Bank Transfer
U906,20.0,Female,UK,3/5/2020,Silver,3/6/2023,32.0,86.1,598.0,3357.0,Credit Card
U1061,22.0,Female,Canada,11/21/2017,Silver,2/20/2023,3.0,371.27,148.0,1382.0,Crypto
U2026,23.0,Male,India,3/20/2019,Silver,1/2/2023,42.0,2.47,489.0,1626.0,PayPal
U2108,39.0,Male,USA,6/25/2015,Platinum,4/11/2023,10.0,382.43,220.0,3370.0,Crypto
U1122,24.0,Female,USA,4/30/2019,Silver,7/12/2023,25.0,103.05,968.0,551.0,Crypto
U514,57.0,Male,Germany,10/27/2017,Platinum,11/29/2023,2.0,156.99,333.0,3945.0,Crypto
U1659,33.0,Female,Germany,6/16/2015,Free,8/7/2023,16.0,97.83,902.0,1068.0,Bank Transfer
U988,46.0,Female,USA,1/4/2021,Free,4/27/2023,31.0,375.83,606.0,1451.0,PayPal
U1872,69.0,Male,India,4/22/2019,Platinum,5/5/2023,49.0,256.33,576.0,935.0,PayPal
U1916,32.0,Male,Canada,8/1/2015,Free,11/9/2023,19.0,190.71,921.0,285.0,Bank Transfer
U825,35.0,Female,Germany,1/9/2018,Silver,9/3/2023,48.0,39.39,539.0,444.0,PayPal
U839,67.0,Male,India,9/29/2019,Silver,1/24/2023,13.0,333.75,789.0,469.0,PayPal
U1796,45.0,Female,India,3/8/2022,Platinum,5/7/2023,29.0,289.13,306.0,4389.0,Crypto
U1086,42.0,Male,USA,9/23/2017,Free,8/22/2023,47.0,199.83,87.0,2613.0,Credit Card
U1886,57.0,Male,UK,5/28/2017,Gold,8/17/2023,43.0,462.44,572.0,1020.0,Credit Card
U260,24.0,Male,UK,3/14/2019,Free,2/21/2023,50.0,151.21,103.0,2718.0,Crypto
U311,40.0,Female,India,1/3/2016,Platinum,1/24/2023,48.0,363.9,660.0,4039.0,Credit Card
U1743,50.0,Female,Canada,6/23/2017,Free,6/19/2023,14.0,150.98,762.0,1798.0,Credit Card
U27,59.0,Female,UK,9/2/2022,Gold,5/6/2023,49.0,395.74,511.0,4681.0,Crypto
U191,53.0,Male,USA,4/25/2021,Platinum,2/6/2023,34.0,48.27,509.0,4594.0,Bank Transfer
U281,26.0,Female,Canada,1/14/2022,Silver,3/13/2023,27.0,221.47,315.0,688.0,Credit Card
U1595,21.0,Male,Canada,5/17/2022,Free,11/19/2023,45.0,473.11,879.0,3211.0,Crypto
U229,59.0,Male,Canada,5/15/2016,Gold,4/11/2023,40.0,123.31,562.0,349.0,Credit Card
U766,61.0,Male,USA,9/20/2017,Silver,11/24/2023,5.0,251.17,585.0,2241.0,Credit Card
U2150,70.0,Female,Germany,4/16/2020,Free,11/11/2023,7.0,346.48,873.0,561.0,PayPal
U1704,21.0,Male,UK,4/7/2021,Platinum,3/22/2023,48.0,255.64,157.0,1784.0,Bank Transfer
U296,39.0,Female,India,12/25/2019,Free,8/12/2023,25.0,219.47,452.0,1879.0,Crypto
U308,39.0,Male,UK,11/21/2018,Free,9/9/2023,2.0,367.87,977.0,2850.0,Credit Card
U954,47.0,Male,Germany,4/17/2018,Silver,4/18/2023,46.0,69.24,492.0,2180.0,PayPal
U1781,31.0,Male,India,4/25/2015,Gold,11/3/2023,35.0,159.26,471.0,896.0,Credit Card
U1473,63.0,Male,Canada,9/21/2019,Platinum,10/10/2023,19.0,177.49,777.0,2976.0,PayPal
U1466,43.0,Female,USA,7/2/2015,Free,8/28/2023,,439.45,644.0,4257.0,Credit Card
U736,59.0,Male,Germany,4/1/2022,Gold,3/9/2023,10.0,479.95,784.0,3505.0,PayPal
U84,25.0,Male,Canada,11/12/2016,Platinum,1/25/2023,19.0,414.7,392.0,3551.0,Crypto
U666,37.0,Female,Canada,12/11/2018,Gold,1/3/2023,16.0,143.12,608.0,2520.0,Credit Card
U1997,36.0,Male,India,2/26/2021,Silver,4/29/2023,0.0,490.85,25.0,4740.0,Crypto
U1994,29.0,Female,UK,4/3/2021,Gold,4/23/2023,30.0,314.56,537.0,2492.0,Bank Transfer
U1218,42.0,Male,USA,10/13/2022,Silver,3/22/2023,37.0,388.34,533.0,4723.0,PayPal
U1803,47.0,Female,Canada,7/29/2018,Free,3/28/2023,50.0,228.39,250.0,4237.0,PayPal
U2022,31.0,Male,India,8/8/2018,Platinum,10/7/2023,14.0,67.89,215.0,588.0,Crypto
U2033,60.0,Male,Germany,4/27/2021,Free,3/5/2023,38.0,13.73,432.0,1462.0,Credit Card
U1333,49.0,Male,Canada,12/19/2015,Platinum,7/1/2023,0.0,347.4,416.0,4232.0,Credit Card
U684,27.0,Female,UK,8/29/2022,Gold,1/24/2023,42.0,462.14,876.0,1085.0,Crypto
U82,53.0,Female,USA,12/28/2021,Gold,10/8/2023,5.0,44.51,952.0,1847.0,Credit Card
U1674,65.0,Male,UK,6/15/2019,Silver,4/26/2023,28.0,160.31,191.0,193.0,Bank Transfer
U73,29.0,Male,Germany,12/4/2018,Silver,1/17/2023,3.0,4.71,60.0,640.0,PayPal
U696,55.0,Female,India,12/11/2020,Silver,8/15/2023,8.0,415.38,134.0,4616.0,PayPal
U1150,46.0,Male,Germany,6/7/2015,Platinum,11/3/2023,20.0,25.47,177.0,1587.0,Credit Card
U223,51.0,Male,India,1/10/2019,Silver,8/3/2023,40.0,100.18,30.0,3005.0,Bank Transfer
U1172,64.0,Female,India,12/20/2020,Free,4/9/2023,38.0,169.85,185.0,2522.0,Crypto
U1977,57.0,Female,Canada,12/13/2019,Gold,10/16/2023,13.0,78.75,397.0,1276.0,PayPal
U895,22.0,Female,Germany,11/9/2021,Silver,5/25/2023,20.0,212.0,130.0,4891.0,Crypto
U1074,18.0,Male,Germany,1/16/2015,Free,8/10/2023,25.0,339.56,490.0,1426.0,PayPal
U1443,33.0,Male,Canada,2/16/2022,Free,3/29/2023,27.0,494.5,486.0,4410.0,Credit Card
U1540,39.0,Male,India,5/6/2019,Free,9/23/2023,0.0,166.11,25.0,762.0,Bank Transfer
U256,52.0,Male,USA,3/23/2018,Free,7/16/2023,19.0,157.74,632.0,4957.0,Crypto
U1553,51.0,Female,Germany,6/26/2018,Gold,6/9/2023,48.0,134.3,817.0,400.0,Crypto
U874,59.0,Male,Canada,10/7/2020,Gold,1/22/2023,1.0,107.8,748.0,1088.0,Crypto
U821,66.0,Female,USA,4/1/2019,Silver,9/27/2023,38.0,255.98,755.0,3440.0,Credit Card
U1957,38.0,Male,Germany,8/21/2022,Free,2/15/2023,11.0,349.15,546.0,3486.0,Credit Card
U1794,54.0,Male,UK,8/23/2015,Platinum,7/10/2023,21.0,385.72,266.0,3384.0,Bank Transfer
U909,37.0,Female,UK,8/27/2017,Platinum,7/13/2023,43.0,278.19,575.0,2130.0,PayPal
U398,58.0,Female,Canada,8/14/2015,Platinum,9/24/2023,30.0,5.8,448.0,1985.0,Credit Card
U1444,25.0,Male,USA,11/15/2015,Free,2/16/2023,20.0,8.0,705.0,3314.0,Credit Card
U509,44.0,Male,USA,10/28/2015,Gold,4/17/2023,50.0,90.91,580.0,4105.0,Crypto
U52,20.0,Male,India,2/10/2022,Silver,6/27/2023,45.0,33.15,271.0,2415.0,Bank Transfer
U677,61.0,Male,UK,10/19/2022,Gold,5/30/2023,27.0,464.25,6.0,1041.0,PayPal
U225,36.0,Male,USA,7/30/2018,Platinum,9/16/2023,24.0,1.23,246.0,4393.0,PayPal
U1428,20.0,Male,Canada,9/14/2016,Gold,7/1/2023,7.0,43.58,821.0,1002.0,Credit Card
U770,25.0,Female,Canada,6/8/2017,Gold,3/26/2023,42.0,173.21,378.0,3094.0,Bank Transfer
U933,23.0,Male,India,5/7/2019,Platinum,7/3/2023,23.0,49.85,395.0,1091.0,Credit Card
U600,58.0,Female,UK,7/9/2016,Gold,6/13/2023,14.0,128.89,334.0,2397.0,Crypto
U1432,19.0,Male,India,12/25/2021,Gold,2/6/2023,16.0,418.56,975.0,1488.0,Credit Card
U104,30.0,Male,UK,3/22/2017,Free,4/21/2023,8.0,202.57,734.0,3593.0,Crypto
U300,56.0,Female,Canada,6/21/2019,Free,5/30/2023,41.0,12.1,285.0,4566.0,Credit Card
U1556,40.0,Female,UK,11/20/2015,Gold,11/14/2023,30.0,133.64,183.0,1989.0,Credit Card
U1123,36.0,Female,Germany,1/20/2022,Platinum,4/12/2023,35.0,473.57,937.0,2240.0,PayPal
U619,63.0,Male,UK,9/14/2016,Free,1/27/2023,14.0,305.01,789.0,3408.0,Credit Card
U34,65.0,Female,Germany,10/14/2020,Free,5/2/2023,40.0,314.59,442.0,4467.0,Bank Transfer
U2048,70.0,Female,USA,3/20/2020,Free,6/24/2023,27.0,251.94,379.0,4566.0,Credit Card
U456,31.0,Female,Canada,1/17/2016,Silver,5/18/2023,28.0,186.71,187.0,2479.0,PayPal
U485,20.0,Female,India,5/1/2018,Gold,8/11/2023,23.0,147.75,436.0,3312.0,Bank Transfer
U1526,58.0,Female,India,10/8/2020,Platinum,6/7/2023,10.0,387.52,280.0,2587.0,Crypto
U1544,37.0,Female,UK,2/28/2020,Platinum,2/14/2023,22.0,123.1,83.0,1605.0,Credit Card
U127,58.0,Female,India,12/31/2018,Free,9/24/2023,21.0,467.57,927.0,4647.0,Credit Card
U2062,30.0,Female,USA,5/31/2020,Gold,2/1/2023,17.0,68.35,250.0,3584.0,Credit Card
U659,35.0,Female,India,11/9/2016,Platinum,2/20/2023,40.0,167.56,863.0,1301.0,Credit Card
U1610,62.0,Male,Canada,10/13/2017,Gold,11/30/2023,48.0,93.35,540.0,1635.0,PayPal
U429,57.0,Male,USA,12/25/2017,Gold,4/5/2023,33.0,416.57,340.0,479.0,Credit Card
U1328,39.0,Female,UK,6/9/2022,Silver,11/25/2023,18.0,152.44,936.0,2526.0,Bank Transfer
U1854,43.0,Female,UK,4/9/2016,Silver,8/23/2023,7.0,91.85,168.0,927.0,Credit Card
U420,24.0,Male,India,9/3/2020,Silver,8/9/2023,6.0,419.61,302.0,4145.0,Credit Card
U1107,29.0,Male,Germany,12/22/2018,Gold,8/4/2023,47.0,86.99,95.0,4174.0,PayPal
U921,31.0,Male,Germany,7/19/2020,Gold,3/23/2023,47.0,411.82,438.0,3420.0,Credit Card
U436,51.0,Female,UK,8/13/2022,Free,2/16/2023,37.0,162.18,163.0,2084.0,Credit Card
U2100,25.0,Male,USA,4/20/2022,Gold,7/2/2023,4.0,79.1,963.0,3213.0,Credit Card
U449,49.0,Male,Canada,9/12/2021,Silver,5/12/2023,5.0,444.06,557.0,681.0,PayPal
U772,65.0,Male,Canada,11/5/2020,Gold,8/22/2023,36.0,350.37,249.0,1621.0,Bank Transfer
U470,69.0,Male,USA,3/27/2022,Free,3/18/2023,12.0,444.2,216.0,3314.0,Bank Transfer
U387,57.0,Female,UK,6/8/2016,Silver,1/9/2023,12.0,341.27,738.0,1178.0,Bank Transfer
U162,57.0,Female,USA,2/9/2019,Silver,2/18/2023,12.0,56.08,317.0,3104.0,Credit Card
U1893,33.0,Female,USA,7/18/2015,Gold,6/11/2023,20.0,335.59,266.0,4803.0,Bank Transfer
U1357,62.0,Male,UK,12/25/2017,Platinum,10/5/2023,7.0,74.76,882.0,310.0,PayPal
U1835,55.0,Female,USA,3/16/2017,Free,2/20/2023,20.0,496.64,317.0,811.0,Credit Card
U1053,70.0,Male,Canada,10/10/2021,Platinum,10/15/2023,23.0,12.3,424.0,1283.0,Crypto
U2154,63.0,Female,UK,6/1/2015,Gold,9/17/2023,37.0,349.81,197.0,1449.0,Crypto
U1115,30.0,Male,Germany,1/17/2021,Silver,10/5/2023,35.0,340.73,230.0,1003.0,Bank Transfer
U1628,47.0,Male,USA,7/13/2016,Free,11/25/2023,35.0,95.25,158.0,971.0,PayPal
U1515,20.0,Male,India,6/1/2018,Gold,8/2/2023,0.0,487.76,922.0,3273.0,Crypto
U3,52.0,Female,India,6/1/2019,Silver,10/8/2023,37.0,25.98,305.0,41.0,Crypto
U649,53.0,Female,USA,3/15/2019,Free,7/8/2023,31.0,113.14,97.0,1867.0,Crypto
U779,18.0,Male,USA,11/29/2016,Free,2/26/2023,47.0,415.58,19.0,3923.0,PayPal
U1424,22.0,Female,USA,5/14/2018,Silver,11/21/2023,46.0,170.56,741.0,2033.0,Crypto
U211,32.0,Male,UK,8/4/2018,Free,11/11/2023,28.0,328.33,815.0,2845.0,Crypto
U1006,64.0,Male,Canada,3/29/2022,Free,9/12/2023,28.0,101.52,21.0,2408.0,Bank Transfer
U103,63.0,Male,Germany,5/23/2015,Platinum,11/1/2023,10.0,284.41,453.0,3662.0,Credit Card
U971,21.0,Male,Canada,8/5/2019,Silver,7/28/2023,23.0,29.11,371.0,3390.0,Bank Transfer
U999,43.0,Female,USA,6/19/2021,Silver,2/23/2023,41.0,383.65,273.0,1504.0,PayPal
U1048,44.0,Female,Canada,4/21/2022,Gold,11/14/2023,38.0,275.51,165.0,817.0,Bank Transfer
U725,29.0,Male,Canada,2/6/2021,Free,10/17/2023,42.0,44.88,908.0,3779.0,Credit Card
U418,41.0,Male,USA,7/2/2022,Free,6/24/2023,20.0,323.07,662.0,3377.0,Credit Card
U447,18.0,Male,UK,5/14/2016,Free,10/19/2023,1.0,142.57,285.0,186.0,PayPal
U1491,22.0,Male,Germany,7/8/2020,Gold,2/10/2023,22.0,290.56,383.0,496.0,Credit Card
U1930,67.0,Female,India,4/27/2020,Silver,10/1/2023,20.0,148.31,148.0,2117.0,Credit Card
U635,33.0,Female,UK,2/7/2015,Platinum,1/31/2023,9.0,405.59,633.0,3422.0,Bank Transfer
U788,68.0,Male,India,4/23/2020,Free,1/18/2023,0.0,95.53,665.0,4432.0,Bank Transfer
U1302,30.0,Male,Germany,11/23/2022,Silver,5/29/2023,1.0,125.5,373.0,1230.0,PayPal
U129,60.0,Female,USA,3/26/2015,Silver,3/15/2023,35.0,446.09,702.0,261.0,PayPal
U1975,22.0,,Canada,4/4/2016,Gold,9/1/2023,23.0,184.41,74.0,2363.0,Credit Card
U1596,70.0,Female,Canada,12/2/2022,Silver,8/4/2023,37.0,168.81,580.0,3919.0,Crypto
U1976,37.0,Female,Canada,12/15/2019,Silver,10/23/2023,50.0,197.32,260.0,2652.0,Credit Card
U1342,57.0,Male,Canada,8/2/2021,Silver,11/21/2023,42.0,386.12,738.0,4216.0,Crypto
U1472,45.0,Male,Germany,12/7/2015,Gold,7/24/2023,24.0,241.16,637.0,160.0,Credit Card
U1198,39.0,Female,UK,1/24/2019,Platinum,9/1/2023,32.0,244.58,518.0,2740.0,Credit Card
U1033,24.0,Male,Germany,9/23/2016,Free,1/13/2023,40.0,315.0,244.0,4928.0,Credit Card
U1534,28.0,Male,India,7/22/2020,Gold,9/28/2023,14.0,147.91,736.0,4909.0,Bank Transfer
U896,68.0,Male,Germany,2/12/2019,Platinum,10/6/2023,10.0,215.34,57.0,3959.0,Bank Transfer
U808,24.0,Male,India,3/15/2020,Free,7/5/2023,17.0,428.3,452.0,954.0,Credit Card
U2006,67.0,Male,Canada,6/6/2022,Platinum,9/22/2023,44.0,148.54,204.0,2235.0,Crypto
U1204,56.0,Female,USA,3/19/2017,Gold,11/20/2023,50.0,432.13,659.0,605.0,Credit Card
U681,34.0,Female,India,10/7/2021,Free,6/5/2023,0.0,416.42,160.0,4200.0,Crypto
U1913,27.0,Male,UK,7/24/2019,Platinum,6/11/2023,6.0,155.34,646.0,492.0,Credit Card
U1339,57.0,Female,USA,6/30/2017,Gold,6/7/2023,48.0,345.2,381.0,1955.0,Bank Transfer
U1073,60.0,Female,Canada,7/27/2017,Silver,10/11/2023,18.0,188.44,796.0,1020.0,Credit Card
U1702,70.0,Female,USA,12/2/2022,Silver,8/31/2023,18.0,413.92,369.0,169.0,Credit Card
U1137,54.0,Female,India,4/25/2019,Silver,3/17/2023,50.0,130.57,18.0,3162.0,PayPal
U913,57.0,Male,India,2/24/2022,Gold,11/22/2023,36.0,31.83,227.0,4840.0,Bank Transfer
U570,27.0,Male,Canada,3/6/2015,Platinum,8/23/2023,32.0,154.43,745.0,2037.0,PayPal
U2057,63.0,Female,India,9/15/2017,Gold,3/31/2023,2.0,141.56,951.0,3946.0,Credit Card
U497,22.0,Male,India,4/28/2019,Gold,4/6/2023,43.0,467.64,518.0,762.0,Bank Transfer
U1143,24.0,Male,Germany,7/15/2017,Platinum,2/19/2023,22.0,222.23,228.0,4538.0,Crypto
U1857,33.0,Male,USA,1/29/2019,Silver,3/17/2023,49.0,132.98,163.0,3799.0,Crypto
U1214,34.0,Female,Germany,1/8/2020,Gold,1/13/2023,8.0,307.11,996.0,1345.0,Credit Card
U2141,52.0,Male,Canada,12/1/2018,Free,6/24/2023,10.0,117.59,351.0,4339.0,Bank Transfer
U1845,64.0,Female,UK,3/16/2018,Free,6/3/2023,9.0,448.82,440.0,55.0,Credit Card
U1764,22.0,Male,Germany,12/7/2020,Free,7/29/2023,,36.92,424.0,1787.0,Credit Card
U1588,49.0,Male,USA,1/30/2015,Platinum,1/7/2023,3.0,362.16,652.0,1245.0,Credit Card
U1241,26.0,Male,India,4/10/2022,Silver,1/17/2023,4.0,278.2,970.0,4239.0,PayPal
U124,39.0,Male,Canada,5/7/2016,Platinum,11/5/2023,42.0,134.18,666.0,612.0,Credit Card
U920,58.0,Male,UK,5/15/2019,Platinum,8/15/2023,11.0,437.0,276.0,795.0,Crypto
